,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400012,5,202324,Derrick Favors,1610612762,Utah Jazz,1,11,17,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,7,52,1,0
1,Shot Chart Detail,0021400012,7,202324,Derrick Favors,1610612762,Utah Jazz,1,11,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,25,1,1
2,Shot Chart Detail,0021400012,29,202324,Derrick Favors,1610612762,Utah Jazz,1,8,22,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-4,42,1,1
3,Shot Chart Detail,0021400012,31,202324,Derrick Favors,1610612762,Utah Jazz,1,7,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,72,138,1,1
4,Shot Chart Detail,0021400012,50,202324,Derrick Favors,1610612762,Utah Jazz,1,4,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-13,148,1,1
5,Shot Chart Detail,0021400012,308,202324,Derrick Favors,1610612762,Utah Jazz,3,1,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,-10,1,0
6,Shot Chart Detail,0021400012,406,202324,Derrick Favors,1610612762,Utah Jazz,4,4,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-65,178,1,0
7,Shot Chart Detail,0021400012,417,202324,Derrick Favors,1610612762,Utah Jazz,4,4,6,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
8,Shot Chart Detail,0021400012,425,202324,Derrick Favors,1610612762,Utah Jazz,4,3,16,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1
9,Shot Chart Detail,0021400012,455,202324,Derrick Favors,1610612762,Utah Jazz,4,0,46,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
10,Shot Chart Detail,0021400019,11,202324,Derrick Favors,1610612762,Utah Jazz,1,9,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1
11,Shot Chart Detail,0021400019,29,202324,Derrick Favors,1610612762,Utah Jazz,1,8,17,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,1
12,Shot Chart Detail,0021400019,46,202324,Derrick Favors,1610612762,Utah Jazz,1,5,59,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,64,96,1,0
13,Shot Chart Detail,0021400019,148,202324,Derrick Favors,1610612762,Utah Jazz,2,8,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-2,1,1
14,Shot Chart Detail,0021400019,161,202324,Derrick Favors,1610612762,Utah Jazz,2,7,40,Made Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,86,85,1,1
15,Shot Chart Detail,0021400019,199,202324,Derrick Favors,1610612762,Utah Jazz,2,4,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,4,1,0
16,Shot Chart Detail,0021400019,284,202324,Derrick Favors,1610612762,Utah Jazz,3,8,57,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
17,Shot Chart Detail,0021400019,318,202324,Derrick Favors,1610612762,Utah Jazz,3,6,10,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,0
18,Shot Chart Detail,0021400019,325,202324,Derrick Favors,1610612762,Utah Jazz,3,5,26,Made Shot,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
19,Shot Chart Detail,0021400019,428,202324,Derrick Favors,1610612762,Utah Jazz,4,7,59,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,47,1,1
20,Shot Chart Detail,0021400019,447,202324,Derrick Favors,1610612762,Utah Jazz,4,5,57,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-75,26,1,0
21,Shot Chart Detail,0021400019,451,202324,Derrick Favors,1610612762,Utah Jazz,4,5,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,56,127,1,0
22,Shot Chart Detail,0021400037,28,202324,Derrick Favors,1610612762,Utah Jazz,1,8,45,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,3,1,1
23,Shot Chart Detail,0021400037,34,202324,Derrick Favors,1610612762,Utah Jazz,1,7,49,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-4,41,1,1
24,Shot Chart Detail,0021400037,38,202324,Derrick Favors,1610612762,Utah Jazz,1,7,14,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,50,56,1,1
25,Shot Chart Detail,0021400037,53,202324,Derrick Favors,1610612762,Utah Jazz,1,6,2,Made Shot,Running Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,25,1,1
26,Shot Chart Detail,0021400037,59,202324,Derrick Favors,1610612762,Utah Jazz,1,5,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,12,1,1
27,Shot Chart Detail,0021400037,82,202324,Derrick Favors,1610612762,Utah Jazz,1,3,55,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,25,1,0
28,Shot Chart Detail,0021400037,85,202324,Derrick Favors,1610612762,Utah Jazz,1,3,49,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1
29,Shot Chart Detail,0021400037,98,202324,Derrick Favors,1610612762,Utah Jazz,1,1,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-125,71,1,0
30,Shot Chart Detail,0021400037,198,202324,Derrick Favors,1610612762,Utah Jazz,2,5,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,1
